rank,prev_rank,name,league,off,def,spi
473,474,Waasland-Beveren,Belgian Jupiler League,1.12,1.99,28.24
474,475,Larissa,Greek Super League,0.7,1.38,28.18
475,476,Pisa,Italy Serie B,0.99,1.8,28.16
476,459,San Antonio FC,United Soccer League,1.0,1.82,28.15
477,479,Aberdeen,Scottish Premiership,0.68,1.36,28.07
478,491,Gamba Osaka,Japanese J League,0.75,1.47,27.92
479,481,Mjallby,Swedish Allsvenskan,0.9,1.69,27.83
480,478,Lincoln City,English League One,0.93,1.75,27.78
481,483,Lamia,Greek Super League,0.55,1.18,27.53
482,465,Odd BK,Norwegian Tippeligaen,1.05,1.93,27.4
483,485,Charlton Athletic,English League One,0.93,1.76,27.4
484,490,Stabaek,Norwegian Tippeligaen,0.89,1.7,27.35
485,492,Central Coast Mariners,Australian A-League,0.99,1.87,27.24
486,487,Guizhou Renhe,Chinese Super League,0.94,1.82,26.81
487,473,Adelaide United,Australian A-League,1.04,1.96,26.8
488,482,Louisville City FC,United Soccer League,0.93,1.79,26.8
489,488,St Johnstone,Scottish Premiership,0.73,1.5,26.77
490,493,Livingston,Scottish Premiership,0.85,1.72,26.18
491,494,Spal,Italy Serie B,0.79,1.64,26.07
492,486,Castellon,Spanish Segunda Division,0.71,1.52,26.0
493,484,Avispa Fukuoka,Japanese J League,0.86,1.75,25.97
494,496,FC Xanthi,Greek Super League,0.58,1.33,25.81
495,497,VVV Venlo,Dutch Eredivisie,1.15,2.2,25.51
496,498,FC Tambov,Russian Premier Liga,0.9,1.85,25.33
497,501,FC Trenkwalder Admira,Austrian T-Mobile Bundesliga,0.76,1.65,25.17
498,495,Macarthur FC,Australian A-League,0.87,1.81,25.12
499,502,Gillingham,English League One,0.86,1.8,25.11
500,489,Orange County SC,United Soccer League,0.92,1.9,25.05
501,505,Albacete,Spanish Segunda Division,0.63,1.45,25.02
502,503,Valenciennes,French Ligue 2,1.0,2.01,25.0
503,504,Reggina,Italy Serie B,0.77,1.68,24.98
504,506,Dunkerque,French Ligue 2,0.72,1.61,24.9
505,519,Lugo,Spanish Segunda Division,0.75,1.66,24.73
506,516,Erzgebirge Aue,German 2. Bundesliga,0.89,1.88,24.71
507,499,Varbergs BoIS FC,Swedish Allsvenskan,0.93,1.94,24.69
508,539,Shimizu S-Pulse,Japanese J League,0.84,1.81,24.54
509,512,Black Aces,South African ABSA Premier League,0.81,1.78,24.28
510,511,Degerfors IF,Swedish Allsvenskan,0.75,1.68,24.27
511,513,Motherwell,Scottish Premiership,0.84,1.83,24.21
512,514,Caen,French Ligue 2,0.72,1.64,24.12
513,500,Haugesund,Norwegian Tippeligaen,0.81,1.79,24.09
514,515,Maritzburg Utd,South African ABSA Premier League,0.56,1.39,24.05
515,517,Pordenone Calcio,Italy Serie B,0.68,1.6,23.99
516,524,Lyngby,Danish SAS-Ligaen,0.96,2.03,23.95
517,518,St Mirren,Scottish Premiership,0.68,1.6,23.92
518,528,Indy Eleven,United Soccer League,0.79,1.78,23.86
519,508,VfL Osnabruck,German 2. Bundesliga,0.84,1.86,23.72
520,522,Vancouver Whitecaps,Major League Soccer,0.83,1.86,23.53
521,523,Chambly Thelle FC,French Ligue 2,0.85,1.9,23.39
522,510,Stromsgodset,Norwegian Tippeligaen,0.92,2.01,23.38
523,509,Sacramento Republic FC,United Soccer League,0.77,1.78,23.33
524,520,Eintracht Braunschweig,German 2. Bundesliga,0.73,1.72,23.22
525,525,Östersunds FK,Swedish Allsvenskan,0.77,1.8,23.17
526,526,ADO Den Haag,Dutch Eredivisie,0.96,2.09,23.12
527,521,FC Cincinnati,Major League Soccer,0.83,1.89,23.1
528,527,Denizlispor,Turkish Turkcell Super Lig,0.9,2.0,23.05
529,532,Würzburger Kickers,German 2. Bundesliga,0.87,1.96,23.0
530,529,IK Sirius,Swedish Allsvenskan,0.88,1.98,22.87
531,507,AC Horsens,Danish SAS-Ligaen,0.87,1.98,22.74
532,531,Dundee Utd,Scottish Premiership,0.67,1.68,22.56
533,533,Bloem Celtic,South African ABSA Premier League,0.8,1.9,22.37
534,534,Portsmouth,English League One,0.73,1.78,22.34
535,536,Burton Albion,English League One,0.86,2.0,22.3
536,540,Logrones,Spanish Segunda Division,0.58,1.54,22.27
537,537,Vicenza,Italy Serie B,0.69,1.73,22.26
538,538,Ascoli,Italy Serie B,0.67,1.69,22.22
539,530,Tokushima Vortis,Japanese J League,0.68,1.71,22.11
540,549,Shonan Bellmare,Japanese J League,0.58,1.56,21.96
541,543,Panionios,Greek Super League,0.51,1.45,21.84
542,545,Pittsburgh Riverhounds,United Soccer League,0.73,1.81,21.83
543,553,Kalmar FF,Swedish Allsvenskan,0.65,1.69,21.76
544,535,Birmingham Legion FC,United Soccer League,0.78,1.91,21.71
545,546,Milton Keynes Dons,English League One,0.79,1.95,21.41
546,547,Volos NFC,Greek Super League,0.65,1.73,21.22
547,550,Orebro SK,Swedish Allsvenskan,0.79,1.97,21.05
548,552,El Paso Locomotive FC,United Soccer League,0.69,1.81,20.97
549,544,Sarpsborg,Norwegian Tippeligaen,0.62,1.71,20.86
550,542,New Mexico United,United Soccer League,0.73,1.91,20.67
551,556,Kilmarnock,Scottish Premiership,0.77,1.98,20.43
552,554,Halmstads BK,Swedish Allsvenskan,0.64,1.78,20.35
553,557,Newcastle Jets,Australian A-League,0.76,1.98,20.3
554,548,Charlotte Independence,United Soccer League,0.74,1.95,20.26
555,567,Vegalta Sendai,Japanese J League,0.67,1.84,20.22
556,583,Melbourne Victory,Australian A-League,0.98,2.35,20.15
557,551,SK Brann,Norwegian Tippeligaen,0.78,2.03,20.09
558,555,Lillestrom,Norwegian Tippeligaen,0.73,1.95,20.04
559,559,Hamilton Academical,Scottish Premiership,0.68,1.88,19.93
560,560,Chateauroux,French Ligue 2,0.63,1.79,19.87
561,561,San Diego Loyal SC,United Soccer League,0.73,1.99,19.34
562,562,Highlands Park FC,South African ABSA Premier League,0.57,1.75,18.95
563,563,Fleetwood Town,English League One,0.54,1.71,18.88
564,571,Miami FC,United Soccer League,0.75,2.08,18.78
565,541,Western United,Australian A-League,0.83,2.21,18.77
566,558,Tromso,Norwegian Tippeligaen,0.7,1.99,18.76
567,565,Niort,French Ligue 2,0.6,1.82,18.71
568,564,Mjondalen,Norwegian Tippeligaen,0.58,1.8,18.66
569,566,Ross County,Scottish Premiership,0.75,2.09,18.62
570,572,Austin Bold FC,United Soccer League,0.75,2.1,18.61
571,589,Sandefjord,Norwegian Tippeligaen,0.65,1.92,18.51
572,568,Accrington Stanley,English League One,0.8,2.19,18.45
573,569,Rochdale,English League One,0.78,2.15,18.44
574,578,Oita Trinita,Japanese J League,0.55,1.75,18.42
575,570,Crewe Alexandra,English League One,0.66,1.96,18.3
576,573,Tulsa Roughnecks,United Soccer League,0.71,2.05,18.21
577,574,US Pescara,Italy Serie B,0.57,1.81,18.14
578,575,Colorado Springs Switchbacks FC,United Soccer League,0.72,2.08,18.11
579,576,Wigan,English League One,0.74,2.12,18.09
580,579,Ipswich Town,English League One,0.44,1.6,17.87
581,580,Doncaster Rovers,English League One,0.71,2.09,17.81
582,577,Morecambe,English League Two,0.69,2.06,17.71
583,581,Shrewsbury Town,English League One,0.57,1.85,17.61
584,582,Exeter City,English League Two,0.6,1.93,17.31
585,584,Golden Arrows,South African ABSA Premier League,0.43,1.63,17.14
586,585,AFC Wimbledon,English League One,0.63,2.0,17.12
587,586,Bolton,English League Two,0.54,1.85,17.01
588,587,Cheltenham Town,English League Two,0.47,1.71,16.95
589,588,Reggiana,Italy Serie B,0.51,1.8,16.89
590,590,Salford City,English League Two,0.39,1.6,16.46
591,591,Cosenza,Italy Serie B,0.54,1.9,16.32
592,592,Cambridge United,English League Two,0.64,2.13,15.96
593,593,Polokwane City FC,South African ABSA Premier League,0.47,1.84,15.52
594,594,Memphis 901 FC,United Soccer League,0.64,2.2,15.22
595,596,Virtus Entella,Italy Serie B,0.53,2.05,14.53
596,597,Northampton Town,English League One,0.47,1.96,14.18
597,598,Chippa United,South African ABSA Premier League,0.26,1.54,13.92
598,600,Rio Grande Valley FC Toros,United Soccer League,0.5,2.06,13.87
599,595,Charleston Battery,United Soccer League,0.52,2.1,13.87
600,599,Mansfield Town,English League Two,0.49,2.03,13.84
601,601,AmaZulu,South African ABSA Premier League,0.31,1.68,13.48
602,602,Swindon Town,English League One,0.7,2.49,13.37
603,604,Oldham Athletic,English League Two,0.77,2.64,13.17
604,605,Baroka FC,South African ABSA Premier League,0.24,1.57,12.84
605,603,Yokohama FC,Japanese J League,0.53,2.22,12.83
606,606,Newport County,English League Two,0.35,1.83,12.81
607,607,Plymouth Argyle,English League One,0.55,2.26,12.74
608,608,Carlisle United,English League Two,0.42,2.05,12.32
609,609,Stellenbosch FC,South African ABSA Premier League,0.35,1.89,12.29
610,610,Tacoma Defiance,United Soccer League,0.54,2.29,12.25
611,612,Black Leopards,South African ABSA Premier League,0.39,2.03,11.75
612,613,Atlanta United 2,United Soccer League,0.53,2.35,11.7
613,618,Oakland Roots,United Soccer League,0.43,2.15,11.56
614,621,LA Galaxy II,United Soccer League,0.55,2.41,11.54
615,615,Port Vale,English League Two,0.37,2.05,11.24
616,611,Real Monarchs SLC,United Soccer League,0.43,2.19,11.23
617,616,Hartford Athletic,United Soccer League,0.45,2.27,10.92
618,617,Tranmere Rovers,English League Two,0.31,1.95,10.88
619,623,Forest Green Rovers,English League Two,0.42,2.21,10.8
620,614,Oklahoma City Energy FC,United Soccer League,0.39,2.15,10.79
621,619,Bristol Rovers,English League One,0.3,2.02,10.07
622,620,Stevenage,English League Two,0.2,1.79,9.89
623,622,Barrow,English League Two,0.34,2.19,9.62
624,624,Leyton Orient,English League Two,0.32,2.21,9.09
625,625,Crawley Town,English League Two,0.36,2.32,8.96
626,626,Las Vegas Lights FC,United Soccer League,0.43,2.56,8.46
627,627,Bradford City,English League Two,0.23,2.05,8.44
628,632,Loudoun United FC,United Soccer League,0.36,2.41,8.33
629,628,Southend United,English League Two,0.2,1.99,8.29
630,629,Walsall,English League Two,0.2,2.02,8.13
631,630,Harrogate Town,English League Two,0.33,2.36,8.09
632,633,New York Red Bulls II,United Soccer League,0.4,2.54,8.09
633,631,Swope Park Rangers,United Soccer League,0.35,2.41,8.05
634,634,Colchester United,English League Two,0.2,2.12,7.42
635,635,Grimsby Town,English League Two,0.2,2.29,6.44
636,636,Scunthorpe,English League Two,0.2,2.38,5.95
